date,region,consumption_m3,availability_m3,latitude,longitude
2020-01-01,Tunis,1200,2000,36.8065,10.1815
2020-01-01,Sfax,900,1500,34.7398,10.7600
2020-01-01,Gabès,600,800,33.8815,10.0982
2020-01-01,Sousse,800,1200,35.8254,10.6084
2020-01-01,Kairouan,500,700,35.6712,10.1005
2020-01-01,Bizerte,700,1000,37.2744,9.8739
2020-01-01,Monastir,400,600,35.7643,10.8113
2020-01-01,Tozeur,300,500,33.9197,8.1335
2020-01-01,Tataouine,200,400,32.9297,10.4518
2020-01-01,Medenine,350,550,33.3549,10.5055
2020-01-01,Kasserine,450,650,35.1676,8.8365
2020-01-01,Gafsa,550,750,34.4311,8.7757
2020-01-01,Sidi Bouzid,400,600,35.0383,9.4849
2020-01-01,Manouba,600,900,36.8081,10.0972
2020-01-01,Nabeul,700,1100,36.4561,10.7376
2020-01-01,Zaghouan,300,500,36.4029,10.1429
2020-01-01,Ben Arous,800,1300,36.7531,10.2189
2020-01-01,Mahdia,450,700,35.5047,11.0622
2020-01-01,Kef,350,550,36.1690,8.7046
2020-01-01,Siliana,300,500,36.0833,9.3667
2020-01-01,Jendouba,400,600,36.5000,8.7833
2020-01-01,Beja,350,550,36.7333,9.1833
2021-01-01,Tunis,1250,1950,36.8065,10.1815
2021-01-01,Sfax,950,1450,34.7398,10.7600
2021-01-01,Gabès,650,750,33.8815,10.0982
2021-01-01,Sousse,850,1150,35.8254,10.6084
2021-01-01,Kairouan,550,650,35.6712,10.1005
2021-01-01,Bizerte,750,950,37.2744,9.8739
2021-01-01,Monastir,450,550,35.7643,10.8113
2021-01-01,Tozeur,350,450,33.9197,8.1335
2021-01-01,Tataouine,250,350,32.9297,10.4518
2021-01-01,Medenine,400,500,33.3549,10.5055
2021-01-01,Kasserine,500,600,35.1676,8.8365
2021-01-01,Gafsa,600,700,34.4311,8.7757
2021-01-01,Sidi Bouzid,450,550,35.0383,9.4849
2021-01-01,Manouba,650,850,36.8081,10.0972
2021-01-01,Nabeul,750,1050,36.4561,10.7376
2021-01-01,Zaghouan,350,450,36.4029,10.1429
2021-01-01,Ben Arous,850,1250,36.7531,10.2189
2021-01-01,Mahdia,500,650,35.5047,11.0622
2021-01-01,Kef,400,500,36.1690,8.7046
2021-01-01,Siliana,350,450,36.0833,9.3667
2021-01-01,Jendouba,450,550,36.5000,8.7833
2021-01-01,Beja,400,500,36.7333,9.1833
2022-01-01,Tunis,1300,1900,36.8065,10.1815
2022-01-01,Sfax,1000,1400,34.7398,10.7600
2022-01-01,Gabès,700,700,33.8815,10.0982
2022-01-01,Sousse,900,1100,35.8254,10.6084
2022-01-01,Kairouan,600,600,35.6712,10.1005
2022-01-01,Bizerte,800,900,37.2744,9.8739
2022-01-01,Monastir,500,500,35.7643,10.8113
2022-01-01,Tozeur,400,400,33.9197,8.1335
2022-01-01,Tataouine,300,300,32.9297,10.4518
2022-01-01,Medenine,450,450,33.3549,10.5055
2022-01-01,Kasserine,550,550,35.1676,8.8365
2022-01-01,Gafsa,650,650,34.4311,8.7757
2022-01-01,Sidi Bouzid,500,500,35.0383,9.4849
2022-01-01,Manouba,700,800,36.8081,10.0972
2022-01-01,Nabeul,800,1000,36.4561,10.7376
2022-01-01,Zaghouan,400,400,36.4029,10.1429
2022-01-01,Ben Arous,900,1200,36.7531,10.2189
2022-01-01,Mahdia,550,600,35.5047,11.0622
2022-01-01,Kef,450,450,36.1690,8.7046
2022-01-01,Siliana,400,400,36.0833,9.3667
2022-01-01,Jendouba,500,500,36.5000,8.7833
2022-01-01,Beja,450,450,36.7333,9.1833
2023-01-01,Tunis,1350,1850,36.8065,10.1815
2023-01-01,Sfax,1050,1350,34.7398,10.7600
2023-01-01,Gabès,750,650,33.8815,10.0982
2023-01-01,Sousse,950,1050,35.8254,10.6084
2023-01-01,Kairouan,650,550,35.6712,10.1005
2023-01-01,Bizerte,850,850,37.2744,9.8739
2023-01-01,Monastir,550,450,35.7643,10.8113
2023-01-01,Tozeur,450,350,33.9197,8.1335
2023-01-01,Tataouine,350,250,32.9297,10.4518
2023-01-01,Medenine,500,400,33.3549,10.5055
2023-01-01,Kasserine,600,500,35.1676,8.8365
2023-01-01,Gafsa,700,600,34.4311,8.7757
2023-01-01,Sidi Bouzid,550,450,35.0383,9.4849
2023-01-01,Manouba,750,750,36.8081,10.0972
2023-01-01,Nabeul,850,950,36.4561,10.7376
2023-01-01,Zaghouan,450,350,36.4029,10.1429
2023-01-01,Ben Arous,950,1150,36.7531,10.2189
2023-01-01,Mahdia,600,550,35.5047,11.0622
2023-01-01,Kef,500,400,36.1690,8.7046
2023-01-01,Siliana,450,350,36.0833,9.3667
2023-01-01,Jendouba,550,450,36.5000,8.7833
2023-01-01,Beja,500,400,36.7333,9.1833
2024-01-01,Tunis,1400,1800,36.8065,10.1815
2024-01-01,Sfax,1100,1300,34.7398,10.7600
2024-01-01,Gabès,800,600,33.8815,10.0982
2024-01-01,Sousse,1000,1000,35.8254,10.6084
2024-01-01,Kairouan,700,500,35.6712,10.1005
2024-01-01,Bizerte,900,800,37.2744,9.8739
2024-01-01,Monastir,600,400,35.7643,10.8113
2024-01-01,Tozeur,500,300,33.9197,8.1335
2024-01-01,Tataouine,400,200,32.9297,10.4518
2024-01-01,Medenine,550,350,33.3549,10.5055
2024-01-01,Kasserine,650,450,35.1676,8.8365
2024-01-01,Gafsa,750,550,34.4311,8.7757
2024-01-01,Sidi Bouzid,600,400,35.0383,9.4849
2024-01-01,Manouba,800,700,36.8081,10.0972
2024-01-01,Nabeul,900,900,36.4561,10.7376
2024-01-01,Zaghouan,500,300,36.4029,10.1429
2024-01-01,Ben Arous,1000,1100,36.7531,10.2189
2024-01-01,Mahdia,650,500,35.5047,11.0622
2024-01-01,Kef,550,350,36.1690,8.7046
2024-01-01,Siliana,500,300,36.0833,9.3667
2024-01-01,Jendouba,600,400,36.5000,8.7833
2024-01-01,Beja,550,350,36.7333,9.1833
2025-01-01,Tunis,1450,1750,36.8065,10.1815
2025-01-01,Sfax,1150,1250,34.7398,10.7600
2025-01-01,Gabès,850,550,33.8815,10.0982
2025-01-01,Sousse,1050,950,35.8254,10.6084
2025-01-01,Kairouan,750,450,35.6712,10.1005
2025-01-01,Bizerte,950,750,37.2744,9.8739
2025-01-01,Monastir,650,350,35.7643,10.8113
2025-01-01,Tozeur,550,250,33.9197,8.1335
2025-01-01,Tataouine,450,150,32.9297,10.4518
2025-01-01,Medenine,600,300,33.3549,10.5055
2025-01-01,Kasserine,700,400,35.1676,8.8365
2025-01-01,Gafsa,800,500,34.4311,8.7757
2025-01-01,Sidi Bouzid,650,350,35.0383,9.4849
2025-01-01,Manouba,850,650,36.8081,10.0972
2025-01-01,Nabeul,950,850,36.4561,10.7376
2025-01-01,Zaghouan,550,250,36.4029,10.1429
2025-01-01,Ben Arous,1050,1050,36.7531,10.2189
2025-01-01,Mahdia,700,450,35.5047,11.0622
2025-01-01,Kef,600,300,36.1690,8.7046
2025-01-01,Siliana,550,250,36.0833,9.3667
2025-01-01,Jendouba,650,350,36.5000,8.7833
